City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Xiantao,CN,2021-07-17 21:17:58,30.3833,113.4,74.25,97,99,1.66
280,Bousso,TD,2021-07-17 21:17:58,10.4795,16.7117,75.67,84,100,2.13
281,Beringovskiy,RU,2021-07-17 21:17:59,63.05,179.3167,53.47,77,100,8.03
282,Lovozero,RU,2021-07-17 21:17:59,68.005,35.0117,55.22,77,55,3.0
283,Mazagao,BR,2021-07-17 21:17:59,-0.115,-51.2894,87.85,83,27,5.91
284,Norman Wells,CA,2021-07-17 21:16:58,65.282,-126.8329,75.24,27,20,11.5
285,Tuatapere,NZ,2021-07-17 21:18:00,-46.1333,167.6833,43.83,94,100,3.36
286,Diffa,NE,2021-07-17 21:18:00,13.3154,12.6113,73.92,81,100,13.8
287,Bela,IN,2021-07-17 21:18:00,25.9333,81.9833,83.43,76,100,12.01
288,Sola,VU,2021-07-17 21:18:00,-13.8833,167.55,81.27,83,75,5.75
289,Comal,US,2021-07-17 21:18:01,29.8169,-98.3003,93.0,55,0,5.01
290,Ewa Beach,US,2021-07-17 21:18:01,21.3156,-158.0072,84.15,60,90,13.0
291,Coquimbo,CL,2021-07-17 21:18:01,-29.9533,-71.3436,60.53,67,0,9.22
